      Date & Time,  Trans,  Elap Time,  Data Trans,  Resp Time,  Trans Rate,  Throughput,  Concurrent,    OKAY,   Failed
2018-06-26 15:25:33,  45894,      59.83,           8,       0.13,      767.07,        0.13,       99.29,   45894,       0
2018-06-26 15:28:45,  43788,      59.66,           8,       0.27,      733.96,        0.13,      197.15,   43788,       6
2018-06-26 15:31:54,  42177,      59.29,           7,       0.41,      711.37,        0.12,      293.19,   42177,      41
2018-06-26 15:37:20,  41488,      59.91,           7,       0.55,      692.51,        0.12,      384.10,   41488,      61
2018-06-26 15:40:00,  39648,      60.03,           7,       0.71,      660.47,        0.12,      466.53,   39648,     305
2018-06-26 15:48:39,  40827,      60.13,           7,       0.81,      678.98,        0.12,      551.56,   40827,     328
2018-06-26 15:50:49,  37607,      59.52,           6,       1.02,      631.84,        0.10,      643.01,   37607,     340
2018-06-26 15:54:59,  39401,      59.79,           7,       1.10,      658.99,        0.12,      724.00,   39401,     451
2018-06-26 15:58:57,  37061,      59.38,           6,       1.30,      624.13,        0.10,      809.93,   37061,     532
2018-06-26 16:03:14,  39136,      59.74,           7,       1.33,      655.11,        0.12,      874.54,   39136,     605
