      Date & Time,  Trans,  Elap Time,  Data Trans,  Resp Time,  Trans Rate,  Throughput,  Concurrent,    OKAY,   Failed
2018-06-26 21:36:07,  62227,      59.38,          11,       0.10,     1047.95,        0.19,       99.78,   62227,       0
2018-06-26 21:38:43,  60180,      60.06,          10,       0.20,     1002.00,        0.17,      198.35,   60180,       0
2018-06-26 21:40:34,  58048,      59.63,          10,       0.30,      973.47,        0.17,      296.79,   58048,       0
2018-06-26 21:44:16,  58342,      59.77,          10,       0.40,      976.11,        0.17,      387.54,   58342,       0
2018-06-26 21:48:35,  55681,      59.65,           9,       0.51,      933.46,        0.15,      475.01,   55681,       8
2018-06-26 21:55:11,  55848,      59.69,           9,       0.60,      935.63,        0.15,      563.29,   55848,       3
2018-06-26 21:58:25,  55935,      59.98,           9,       0.71,      932.56,        0.15,      659.37,   55935,       2
2018-06-26 22:01:05,  55083,      59.87,           9,       0.82,      920.04,        0.15,      751.21,   55083,      17
2018-06-26 22:06:04,  54026,      59.37,           9,       0.91,      909.99,        0.15,      827.73,   54026,      38
2018-06-26 22:10:34,  49156,      59.42,           8,       1.06,      827.26,        0.13,      875.72,   49156,      44
