      Date & Time,  Trans,  Elap Time,  Data Trans,  Resp Time,  Trans Rate,  Throughput,  Concurrent,    OKAY,   Failed
2018-06-26 16:08:08,  44728,      59.19,           7,       0.13,      755.67,        0.12,       99.36,   44728,       0
2018-06-26 16:12:47,  47123,      59.63,           8,       0.25,      790.26,        0.13,      197.65,   47123,       0
2018-06-26 16:14:13,  45046,      59.79,           8,       0.39,      753.40,        0.13,      293.44,   45046,       0
2018-06-26 16:16:51,  42738,      59.37,           7,       0.54,      719.86,        0.12,      386.30,   42738,       8
2018-06-26 16:20:25,  43334,      59.76,           7,       0.65,      725.13,        0.12,      473.64,   43334,     181
2018-06-26 16:22:35,  40444,      59.38,           7,       0.83,      681.10,        0.12,      563.99,   40444,     200
2018-06-26 17:12:20,  39867,      59.83,           7,       0.94,      666.34,        0.12,      629.12,   39867,     251
2018-06-26 17:03:55,  37686,      59.47,           6,       1.11,      633.70,        0.10,      702.49,   37686,     442
2018-06-26 16:58:26,  39070,      60.48,           6,       1.26,      646.00,        0.10,      811.45,   39070,     374
2018-06-26 16:55:55,  36889,      59.35,           6,       1.38,      621.55,        0.10,      855.61,   36889,     647





