      Date & Time,  Trans,  Elap Time,  Data Trans,  Resp Time,  Trans Rate,  Throughput,  Concurrent,    OKAY,   Failed
2018-06-26 20:07:53,  72449,      60.10,          12,       0.08,     1205.47,        0.20,       99.74,   72449,       0
2018-06-26 21:15:14,  71128,      59.27,          12,       0.17,     1200.07,        0.20,      198.12,   71128,       0
2018-06-26 21:13:04,  73919,      59.90,          13,       0.23,     1234.04,        0.22,      287.83,   73919,      12
2018-06-26 21:09:23,  73100,      60.17,          13,       0.32,     1214.89,        0.22,      387.15,   73100,       1
2018-06-26 20:41:16,  69075,      59.33,          12,       0.41,     1164.25,        0.20,      482.16,   69075,      38
2018-06-26 20:45:24,  72260,      59.69,          12,       0.47,     1210.59,        0.20,      572.11,   72260,      11
2018-06-26 20:50:22,  67542,      59.79,          12,       0.57,     1129.65,        0.20,      642.47,   67542,      40
2018-06-26 20:55:25,  68348,      59.59,          12,       0.63,     1146.97,        0.20,      723.90,   68348,      51
2018-06-26 21:00:03,  69676,      60.33,          12,       0.71,     1154.91,        0.20,      816.96,   69676,      42
2018-06-26 21:04:00,  70403,      60.24,          12,       0.77,     1168.71,        0.20,      904.58,   70403,      48
